unblind,subject,drug,diet,sex,blind_code,n_cing_retro,n_motor,n_visual,n_parietal,n_somato,n_auditory,n_ad_insul,n_hippo,n_dHippo,n_vHippo,n_peri_entor,n_pirif_apirif,n_PLCo,n_BLA,sum_cing_retro,sum_motor,sum_visual,sum_parietal,sum_somato,sum_auditory,sum_ad_insul,sum_hippo,sum_dHippo,sum_vHippo,sum_peri_entor,sum_pirif_apirif,sum_PLCo,sum_BLA,mean_cing_retro,mean_motor,mean_visual,mean_parietal,mean_somato,mean_auditory,mean_ad_insul,mean_hippo,mean_dHippo,mean_vHippo,mean_peri_entor,mean_pirif_apirif,mean_PLCo,mean_BLA
75_F_VEH_EtOH,75,VEH,EtOH,F,B,12,2,9,4,5,7,2,10,8,3,11,10,5,2,0,0,0,0,0,0,0,160,3,157,185,2,0,0,0,0,0,0,0,0,0,16,0.375,52.333333333333336,16.81818181818182,0.2,0,0
76_F_VEH_EtOH,76,VEH,EtOH,F,ZZ,16,4,10,4,8,8,4,9,6,4,12,10,5,4,0,0,1,0,0,0,3,49,0,49,214,9,1,1,0,0,0.1,0,0,0,0.75,5.4444444444444455,0,12.25,17.833333333333336,0.9000000000000001,0.2,0.25
03_M_VEH_EtOH,03,VEH,EtOH,M,M,11,1,8,2,3,7,2,9,6,4,11,9,4,3,0,0,0,0,0,0,5,330,0,330,325,19,6,0,0,0,0,0,0,0,2.5,36.66666666666667,0,82.5,29.545454545454547,2.111111111111111,1.5,0
04_M_VEH_EtOH,04,VEH,EtOH,M,H,11,3,6,5,6,9,2,11,8,4,9,10,6,3,0,0,0,0,0,0,0,44,0,44,2,2,0,0,0,0,0,0,0,0,0,4,0,11,0.22222222222222215,0.20000000000000004,0,0
25_M_VEH_EtOH,25,VEH,EtOH,M,GG,11,3,6,4,5,7,2,8,7,1,9,8,5,4,0,0,0,0,0,0,0,1,0,1,25,6,0,0,0,0,0,0,0,0,0,0.125,0,1,2.7777777777777772,0.75,0,0
26_M_VEH_EtOH,26,VEH,EtOH,M,KKK,14,3,6,6,9,9,2,12,10,3,14,12,9,4,0,0,0,0,1,0,2,55,0,55,353,86,7,3,0,0,0,0,0.11111111111111109,0,1,4.583333333333334,0,18.333333333333332,25.214285714285708,7.166666666666666,0.7777777777777778,0.75
43_M_VEH_EtOH,43,VEH,EtOH,M,YY,14,2,10,4,6,6,2,10,7,4,12,8,5,2,0,0,0,0,0,0,1,74,0,74,110,7,0,1,0,0,0,0,0,0,0.5,7.4,0,18.5,9.166666666666668,0.875,0,0.5
44_M_VEH_EtOH,44,VEH,EtOH,M,DD,12,3,6,5,7,8,2,10,8,3,10,10,7,4,0,0,0,0,1,0,3,12,0,12,22,4,0,0,0,0,0,0,0.14285714285714288,0,1.5,1.2000000000000002,0,4,2.2000000000000006,0.4,0,0
68_M_VEH_EtOH,68,VEH,EtOH,M,C,13,5,7,6,7,8,3,11,9,3,11,9,7,6,0,0,1,0,0,0,2,121,2,119,185,33,8,0,0,0,0.14285714285714288,0,0,0,0.6666666666666666,11,0.2222222222222222,39.666666666666664,16.81818181818182,3.6666666666666665,1.1428571428571428,0
69_M_VEH_EtOH,69,VEH,EtOH,M,JJJ,17,12,5,5,12,6,11,9,7,2,7,15,6,0,0,1,0,0,1,0,8,160,0,160,56,20,11,0,0,0.08333333333333331,0,0,0.08333333333333333,0,0.7272727272727272,17.77777777777778,0,80,8,1.3333333333333335,1.8333333333333335,NA
